ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
10.0,34.0,9.0,180.0,93023.0,1.0,8.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0
17.0,38.0,14.0,130.0,95010.0,4.0,4.7,3.0,134.0,1.0,0.0,0.0,0.0,0.0
19.0,46.0,21.0,193.0,91604.0,2.0,8.1,3.0,0.0,1.0,0.0,0.0,0.0,0.0
30.0,38.0,13.0,119.0,94104.0,1.0,3.3,2.0,0.0,1.0,0.0,1.0,1.0,1.0
39.0,42.0,18.0,141.0,94114.0,3.0,5.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0
43.0,32.0,7.0,132.0,90019.0,4.0,1.1,2.0,412.0,1.0,0.0,0.0,1.0,0.0
48.0,37.0,12.0,194.0,91380.0,4.0,0.2,3.0,211.0,1.0,1.0,1.0,1.0,1.0
54.0,50.0,26.0,190.0,90245.0,3.0,2.1,3.0,240.0,1.0,0.0,0.0,1.0,0.0
58.0,56.0,31.0,131.0,95616.0,2.0,1.2,3.0,0.0,1.0,0.0,0.0,0.0,0.0
76.0,31.0,7.0,135.0,94901.0,4.0,3.8,2.0,0.0,1.0,0.0,1.0,1.0,1.0
79.0,54.0,30.0,133.0,93305.0,2.0,2.6,3.0,0.0,1.0,0.0,0.0,0.0,0.0
91.0,55.0,30.0,118.0,90277.0,4.0,5.6,2.0,0.0,1.0,0.0,0.0,1.0,0.0
132.0,58.0,34.0,149.0,93720.0,4.0,7.2,2.0,0.0,1.0,0.0,1.0,1.0,1.0
152.0,26.0,0.0,132.0,92834.0,3.0,6.5,3.0,0.0,1.0,0.0,0.0,0.0,1.0
161.0,29.0,0.0,134.0,95819.0,4.0,6.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0
175.0,42.0,17.0,168.0,95503.0,2.0,7.9,2.0,0.0,1.0,0.0,0.0,1.0,0.0
184.0,29.0,3.0,148.0,92173.0,3.0,4.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0
188.0,46.0,21.0,159.0,94305.0,3.0,1.9,3.0,315.0,1.0,0.0,0.0,1.0,0.0
200.0,36.0,11.0,158.0,92152.0,1.0,5.1,3.0,0.0,1.0,0.0,1.0,1.0,1.0
210.0,64.0,39.0,172.0,94707.0,4.0,3.1,1.0,282.0,1.0,0.0,1.0,1.0,1.0
244.0,65.0,39.0,170.0,90095.0,3.0,7.9,3.0,99.0,1.0,0.0,1.0,1.0,0.0
248.0,53.0,29.0,120.0,92626.0,4.0,2.7,2.0,111.0,1.0,1.0,1.0,1.0,0.0
252.0,54.0,28.0,170.0,92182.0,2.0,6.2,2.0,325.0,1.0,0.0,0.0,1.0,0.0
255.0,65.0,41.0,134.0,91942.0,3.0,3.9,3.0,121.0,1.0,0.0,0.0,1.0,0.0
262.0,42.0,16.0,111.0,93106.0,2.0,1.2,3.0,251.0,1.0,0.0,0.0,1.0,0.0
289.0,44.0,19.0,172.0,94306.0,2.0,4.3,3.0,391.0,1.0,1.0,1.0,1.0,0.0
300.0,41.0,15.0,159.0,90057.0,1.0,5.5,3.0,0.0,1.0,0.0,1.0,1.0,0.0
304.0,49.0,25.0,195.0,95605.0,4.0,3.0,1.0,617.0,1.0,0.0,0.0,0.0,0.0
317.0,57.0,31.0,165.0,95054.0,1.0,1.6,2.0,0.0,1.0,0.0,0.0,1.0,0.0
318.0,40.0,16.0,119.0,91335.0,2.0,4.2,2.0,0.0,1.0,0.0,0.0,1.0,0.0
322.0,44.0,20.0,101.0,92717.0,3.0,4.4,2.0,82.0,1.0,0.0,0.0,0.0,0.0
323.0,63.0,39.0,101.0,92007.0,1.0,3.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0
324.0,59.0,34.0,99.0,90034.0,1.0,4.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0
325.0,56.0,30.0,158.0,90089.0,4.0,6.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0
349.0,40.0,15.0,173.0,95060.0,4.0,6.6,1.0,0.0,1.0,0.0,1.0,1.0,1.0
350.0,26.0,2.0,60.0,93407.0,2.0,3.0,1.0,132.0,1.0,0.0,0.0,0.0,0.0
352.0,28.0,4.0,155.0,92182.0,4.0,5.3,2.0,0.0,1.0,0.0,0.0,1.0,0.0
366.0,57.0,32.0,174.0,90089.0,1.0,6.8,2.0,466.0,1.0,0.0,0.0,1.0,0.0
383.0,65.0,41.0,133.0,94904.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
389.0,54.0,30.0,100.0,95814.0,4.0,3.4,3.0,0.0,1.0,0.0,0.0,0.0,0.0
401.0,36.0,10.0,179.0,94542.0,3.0,6.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0
422.0,28.0,3.0,115.0,92333.0,4.0,3.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0
439.0,58.0,32.0,113.0,93943.0,2.0,3.8,2.0,119.0,1.0,0.0,1.0,1.0,1.0
443.0,58.0,28.0,122.0,95136.0,1.0,3.0,3.0,115.0,1.0,0.0,0.0,1.0,0.0
463.0,29.0,4.0,183.0,91423.0,3.0,8.3,3.0,0.0,1.0,0.0,0.0,1.0,0.0
464.0,48.0,22.0,149.0,94928.0,2.0,5.5,2.0,0.0,1.0,1.0,1.0,1.0,0.0
465.0,43.0,19.0,83.0,94305.0,4.0,3.6,3.0,0.0,1.0,0.0,0.0,0.0,1.0
474.0,64.0,39.0,182.0,93955.0,1.0,1.2,2.0,547.0,1.0,0.0,0.0,1.0,0.0
476.0,43.0,19.0,152.0,92008.0,3.0,6.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0
483.0,56.0,32.0,173.0,94022.0,1.0,4.6,2.0,88.0,1.0,0.0,1.0,1.0,0.0
506.0,36.0,12.0,69.0,94305.0,3.0,3.1,2.0,0.0,1.0,0.0,0.0,1.0,0.0
529.0,64.0,39.0,122.0,90089.0,4.0,0.2,1.0,378.0,1.0,0.0,0.0,1.0,0.0
538.0,44.0,20.0,131.0,90717.0,1.0,4.9,3.0,0.0,1.0,0.0,0.0,1.0,0.0
567.0,53.0,28.0,175.0,95060.0,3.0,3.6,3.0,0.0,1.0,0.0,1.0,1.0,1.0
571.0,49.0,25.0,161.0,94928.0,3.0,6.5,2.0,485.0,1.0,1.0,1.0,0.0,0.0
597.0,48.0,22.0,152.0,94022.0,1.0,3.5,3.0,0.0,1.0,0.0,0.0,1.0,0.0
608.0,28.0,3.0,170.0,95014.0,1.0,0.1,3.0,0.0,1.0,0.0,0.0,0.0,0.0
621.0,33.0,8.0,115.0,91129.0,4.0,2.9,2.0,0.0,1.0,0.0,0.0,1.0,0.0
633.0,57.0,32.0,165.0,94720.0,4.0,2.7,3.0,0.0,1.0,0.0,0.0,1.0,0.0
651.0,47.0,22.0,122.0,90037.0,1.0,5.1,3.0,163.0,1.0,1.0,0.0,0.0,0.0
655.0,54.0,29.0,129.0,93940.0,4.0,4.2,3.0,0.0,1.0,0.0,0.0,0.0,0.0
663.0,65.0,41.0,185.0,93561.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
672.0,65.0,41.0,105.0,92612.0,1.0,3.0,2.0,282.0,1.0,1.0,1.0,1.0,0.0
682.0,34.0,9.0,164.0,94720.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
703.0,35.0,9.0,109.0,92709.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
723.0,45.0,21.0,132.0,91103.0,3.0,1.2,2.0,0.0,1.0,0.0,1.0,1.0,1.0
729.0,45.0,20.0,114.0,94720.0,2.0,4.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0
737.0,61.0,35.0,152.0,91016.0,3.0,3.3,3.0,0.0,1.0,0.0,0.0,1.0,0.0
738.0,64.0,37.0,138.0,94709.0,2.0,2.8,2.0,0.0,1.0,0.0,0.0,1.0,0.0
766.0,47.0,21.0,109.0,95822.0,4.0,1.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0
771.0,26.0,2.0,172.0,94551.0,2.0,6.9,2.0,0.0,1.0,0.0,0.0,1.0,0.0
773.0,54.0,28.0,165.0,92093.0,1.0,4.1,3.0,0.0,1.0,0.0,1.0,1.0,1.0
777.0,50.0,26.0,135.0,92121.0,2.0,4.6,3.0,91.0,1.0,0.0,0.0,1.0,0.0
780.0,53.0,28.0,192.0,94304.0,2.0,6.4,3.0,0.0,1.0,0.0,0.0,0.0,0.0
782.0,56.0,32.0,158.0,94588.0,3.0,3.7,3.0,0.0,1.0,0.0,0.0,1.0,0.0
783.0,54.0,30.0,194.0,92056.0,3.0,6.0,3.0,587.0,1.0,1.0,1.0,1.0,1.0
